fichier,phrase_id,position,mot,onset,offset,POS,surprisal_bits,surprise_structurale,oov,freq_zipf,n_phones
audio01.TextGrid,13,6,again,84.780,85.140,RB,7.5556,4.6961,0,5.7,4
audio01.TextGrid,13,7,we,85.330,85.420,PRP,4.1750,7.0975,0,6.54,2
audio01.TextGrid,13,8,ve,85.420,85.480,VBP,1.8478,3.9814,1,4.56,2
audio01.TextGrid,13,9,made,85.480,85.670,VBN,6.0150,3.2283,0,5.92,3
audio01.TextGrid,13,10,some,85.670,85.840,DT,5.8253,4.0982,0,6.2,3
audio01.TextGrid,13,11,money,85.840,86.220,NN,7.8772,1.4522,0,5.64,4
audio01.TextGrid,14,1,the,87.640,87.740,DT,0.7806,3.6796,0,7.73,2
audio01.TextGrid,14,2,old,87.740,87.970,JJ,7.9253,2.8008,0,5.75,3
audio01.TextGrid,14,3,man,87.970,88.170,NN,10.0996,0.8757,0,5.82,3
audio01.TextGrid,14,4,had,88.170,88.330,VBD,4.2494,4.7249,0,6.33,3
audio01.TextGrid,14,5,taught,88.330,88.480,VBD,9.9863,8.0066,0,4.68,3
audio01.TextGrid,14,6,the,88.480,88.590,DT,0.7806,3.0426,0,7.73,2
audio01.TextGrid,14,7,boy,88.590,88.760,NN,13.6845,1.2536,0,5.17,2
audio01.TextGrid,14,8,to,88.760,88.870,TO,-0.0000,5.5350,0,7.43,2
audio01.TextGrid,14,9,fish,88.870,89.240,VB,2.8428,2.0691,1,4.9,3
audio01.TextGrid,14,10,and,89.240,89.330,CC,0.5482,6.3904,0,7.41,2
audio01.TextGrid,14,11,the,89.330,89.400,DT,0.7806,4.3231,0,7.73,2
audio01.TextGrid,14,12,boy,89.400,89.600,NN,13.6845,1.4493,0,5.17,2
audio01.TextGrid,14,13,loved,89.600,89.910,VBD,10.5713,4.1007,0,5.0,4
audio01.TextGrid,14,14,him,89.910,90.060,PRP,6.7448,6.2569,0,6.11,2
audio01.TextGrid,15,1,no,90.830,91.140,RB,8.0031,5.2120,0,6.35,2
